Id,email,password,fullname,address,birthday,phone,status,role,schoolyear,cmnd,gender,program,schoolId,maxcredit
20210000,student20210000@gmail.com,20210000,STUDENT 20210000,   ,1999-02-08,0123456,1,1,66,0123456789,nam,  ,KCNDMVTT,8
20190001,student20190001@gmail.com,20190001,STUDENT 20190001,   ,1999-02-08,0123456,1,1,64,0123456789,nu,  ,KGDQP,18
20200002,student20200002@gmail.com,20200002,STUDENT 20200002,   ,1999-02-08,0123456,1,1,65,0123456789,nam,  ,VCKDL,8
20180003,student20180003@gmail.com,20180003,STUDENT 20180003,   ,1999-02-08,0123456,1,1,63,0123456789,nam,  ,KDTVT,24
20200004,student20200004@gmail.com,20200004,STUDENT 20200004,   ,1999-02-08,0123456,1,1,65,0123456789,nam,  ,KD,24
20200005,student20200005@gmail.com,20200005,STUDENT 20200005,   ,1999-02-08,0123456,1,1,65,0123456789,nu,  ,KCNHH,14
20210006,student20210006@gmail.com,20210006,STUDENT 20210006,   ,1999-02-08,0123456,1,1,66,0123456789,nam,  ,KKTVQL,8
20210007,student20210007@gmail.com,20210007,STUDENT 20210007,   ,1999-02-08,0123456,1,1,66,0123456789,nu,  ,KNN,8
20210008,student20210008@gmail.com,20210008,STUDENT 20210008,   ,1999-02-08,0123456,1,1,66,0123456789,nu,  ,KCNDMVTT,18
20180009,student20180009@gmail.com,20180009,STUDENT 20180009,   ,1999-02-08,0123456,1,1,63,0123456789,nu,  ,KKHVCNVL,8
20180010,student20180010@gmail.com,20180010,STUDENT 20180010,   ,1999-02-08,0123456,1,1,63,0123456789,nam,  ,KKHVCNVL,14
20170011,student20170011@gmail.com,20170011,STUDENT 20170011,   ,1999-02-08,0123456,1,1,62,0123456789,nam,  ,VMICA,14
20170012,student20170012@gmail.com,20170012,STUDENT 20170012,   ,1999-02-08,0123456,1,1,62,0123456789,nu,  ,KCNHH,18
20190013,student20190013@gmail.com,20190013,STUDENT 20190013,   ,1999-02-08,0123456,1,1,64,0123456789,nam,  ,KTTD,18
20180014,student20180014@gmail.com,20180014,STUDENT 20180014,   ,1999-02-08,0123456,1,1,63,0123456789,nu,  ,KGDQP,8
20170015,student20170015@gmail.com,20170015,STUDENT 20170015,   ,1999-02-08,0123456,1,1,62,0123456789,nu,  ,KKHVCNVL,14
20190016,student20190016@gmail.com,20190016,STUDENT 20190016,   ,1999-02-08,0123456,1,1,64,0123456789,nam,  ,KGDQP,24
20170017,student20170017@gmail.com,20170017,STUDENT 20170017,   ,1999-02-08,0123456,1,1,62,0123456789,nu,  ,KDTVT,24
20210018,student20210018@gmail.com,20210018,STUDENT 20210018,   ,1999-02-08,0123456,1,1,66,0123456789,nam,  ,KCNHH,14
20180019,student20180019@gmail.com,20180019,STUDENT 20180019,   ,1999-02-08,0123456,1,1,63,0123456789,nu,  ,BGDTC,24
20190020,student20190020@gmail.com,20190020,STUDENT 20190020,   ,1999-02-08,0123456,1,1,64,0123456789,nu,  ,VCKDL,18
20200021,student20200021@gmail.com,20200021,STUDENT 20200021,   ,1999-02-08,0123456,1,1,65,0123456789,nu,  ,KTTD,14
20180022,student20180022@gmail.com,20180022,STUDENT 20180022,   ,1999-02-08,0123456,1,1,63,0123456789,nam,  ,VDTLT,14
20210023,student20210023@gmail.com,20210023,STUDENT 20210023,   ,1999-02-08,0123456,1,1,66,0123456789,nu,  ,VCNSHVTP,18
20200024,student20200024@gmail.com,20200024,STUDENT 20200024,   ,1999-02-08,0123456,1,1,65,0123456789,nu,  ,KCNTT,8
20180025,student20180025@gmail.com,20180025,STUDENT 20180025,   ,1999-02-08,0123456,1,1,63,0123456789,nam,  ,VDTLT,14
20200026,student20200026@gmail.com,20200026,STUDENT 20200026,   ,1999-02-08,0123456,1,1,65,0123456789,nam,  ,VCNSHVTP,8
20210027,student20210027@gmail.com,20210027,STUDENT 20210027,   ,1999-02-08,0123456,1,1,66,0123456789,nam,  ,KSPKT,24
20200028,student20200028@gmail.com,20200028,STUDENT 20200028,   ,1999-02-08,0123456,1,1,65,0123456789,nam,  ,KCNHH,24
20200029,student20200029@gmail.com,20200029,STUDENT 20200029,   ,1999-02-08,0123456,1,1,65,0123456789,nu,  ,KML,24
20180030,student20180030@gmail.com,20180030,STUDENT 20180030,   ,1999-02-08,0123456,1,1,63,0123456789,nu,  ,VMICA,18
20170031,student20170031@gmail.com,20170031,STUDENT 20170031,   ,1999-02-08,0123456,1,1,62,0123456789,nu,  ,KNN,18
20190032,student20190032@gmail.com,20190032,STUDENT 20190032,   ,1999-02-08,0123456,1,1,64,0123456789,nu,  ,BGDTC,14
20170033,student20170033@gmail.com,20170033,STUDENT 20170033,   ,1999-02-08,0123456,1,1,62,0123456789,nam,  ,VVLKT,18
20180034,student20180034@gmail.com,20180034,STUDENT 20180034,   ,1999-02-08,0123456,1,1,63,0123456789,nu,  ,VKHVCNNL,18
20190035,student20190035@gmail.com,20190035,STUDENT 20190035,   ,1999-02-08,0123456,1,1,64,0123456789,nu,  ,VDTLT,8
20200036,student20200036@gmail.com,20200036,STUDENT 20200036,   ,1999-02-08,0123456,1,1,65,0123456789,nu,  ,KTTD,24
